timestamp_ms,equity,inventory,cash,mid
1786636440652,100000.0,0.0,100000.0,63574.5
1786636443404,100000.0,0.0,100000.0,63584.5
1786636448858,100000.0,0.0,100000.0,63584.5
1786636454309,100000.0,0.0,100000.0,63584.5
1786636459745,100000.0,0.0,100000.0,63584.5
1786636465262,100000.0,0.0,100000.0,63584.5
1786636470702,100000.0,0.0,100000.0,63584.5
1786636476161,100000.0,0.0,100000.0,63593.5
1786636481447,100000.0,0.0,100000.0,63596.5
1786636486469,100000.0,0.0,100000.0,63596.5
1786636491892,100000.0,0.0,100000.0,63596.5
1786636497322,100000.0,0.0,100000.0,63597.5
1786636502755,100000.0,0.0,100000.0,63580.5
1786636507794,100000.0,0.0,100000.0,63574.5
1786636512871,100000.0,0.0,100000.0,63574.5
1786636517949,100000.0,0.0,100000.0,63589.5
1786636523390,99999.81960700217,-0.01,100635.90460700217,63608.5
1786636528761,99999.81961848967,-0.01,100635.90461848967,63608.5
1786636534109,99999.919631996,-0.01,100635.904631996,63598.5
1786636539519,99999.91964328033,-0.01,100635.90464328033,63598.5
1786636544546,99999.92965473027,-0.01,100635.90465473027,63597.5
1786636549932,99999.91966584377,-0.01,100635.90466584377,63598.5
1786636555351,99999.91967714096,-0.01,100635.90467714096,63598.5
1786636560754,99999.91968858233,-0.01,100635.90468858233,63598.5
1786636566142,99999.9097021449,-0.01,100635.9047021449,63599.5
1786636571469,99999.769713371,-0.01,100635.904713371,63613.5
1786636576846,99999.76972463599,-0.01,100635.90472463598,63613.5
1786636582285,99999.93973789728,-0.01,100635.90473789728,63596.5
1786636587665,99999.93474910916,-0.01,100635.90474910916,63597.0
1786636593082,99999.98976017583,-0.01,100635.90476017582,63591.5
1786636598412,99999.98977358399,-0.01,100635.90477358398,63591.5
1786636603856,99999.99978489359,-0.01,100635.90478489359,63590.5
1786636609273,100000.14979621206,-0.01,100635.90479621207,63575.5
1786636614712,100000.14980956209,-0.01,100635.9048095621,63575.5
1786636620033,100000.09982084554,-0.01,100635.90482084554,63580.5
1786636625433,100000.48862122497,-0.00861,100547.52927622497,63535.5
1786636630922,100000.4628027591,-0.00861,100547.5292877591,63538.5
1786636636359,100000.38532277844,-0.00861,100547.52929777844,63547.5
1786636641327,100000.33367234048,-0.00861,100547.52930734048,63553.5
1786636646702,100000.37673209506,-0.00861,100547.52931709506,63548.5
1786636652182,100000.46284212664,-0.00861,100547.52932712664,63538.5
1786636657593,100000.58339348121,-0.00861,100547.52933848121,63524.5
1786636662984,100000.54035318054,-0.00861,100547.52934818054,63529.5
1786636668322,100000.54897276228,-0.00861,100547.52935776228,63528.5
1786636673637,100000.77284243796,-0.00861,100547.52936743796,63502.5
1786636678987,100000.7631471902,0.0013900000000000006,99912.5141321902,63488.5
